title,price,price_label,mileage,first_registration,transmission,fuel_type,power,consumption,cO2_emissions
Citroen Berlingo Kasten 2x Schiebtür Autom.KlimaTüvSitzh,14256.0,Erhöhter Preis,135314.0,12/2019,Automatik,Diesel,96 kW (131 PS),"4,3 l/100 km (komb.)",113 g/km (komb.)
Citroen Berlingo Club M/L1 Rückfahrkamera 2 Schiebetüren,14440.0,Sehr guter Preis,34200.0,04/2019,Schaltgetriebe,Diesel,73 kW (99 PS),"4,2 l/100 km (komb.)",109 g/km (komb.)
Citroen Berlingo BERLINGO KASTEN CLUB M/KAMERA/SITZHZG./TEMPO,14900.0,Sehr guter Preis,29538.0,12/2019,Schaltgetriebe,Diesel,75 kW (102 PS),"4,0 l/100 km (komb.)",106 g/km (komb.)
"Citroen Berlingo Kasten Club M/L1, BENZINER",14950.0,Keine Angabe,113401.0,02/2022,Schaltgetriebe,Benzin,81 kW (110 PS),"5,3 l/100 km (komb.)",121 g/km (komb.)
"Citroen Berlingo Kasten Club M/L11,5 Blue HDI 100",14950.0,Keine Angabe,79820.0,12/2020,Schaltgetriebe,Diesel,75 kW (102 PS),"4,0 l/100 km (komb.)",106 g/km (komb.)
Citroen Berlingo Kasten Club M/L1,14990.0,Sehr guter Preis,46200.0,09/2023,Schaltgetriebe,Benzin,81 kW (110 PS),"5,3 l/100 km (komb.)",121 g/km (komb.)
"Citroen Berlingo 1.5 BlueHDi 75 M Club,Klimaanlage,3Sitzplätze",14990.0,Erhöhter Preis,79490.0,09/2021,Schaltgetriebe,Diesel,56 kW (76 PS),- (l/100 km),- (g/km)
Citroen Berlingo Worker XL L2 HDi FAP 100 Klimaanlage Parkhilfe hin,14990.0,Fairer Preis,50500.0,10/2020,Schaltgetriebe,Diesel,75 kW (102 PS),"4,2 l/100 km (komb.)",113 g/km (komb.)
Citroen Berlingo Kasten BlueHDi 100 Club M |AHK|NAV|RFK|,14994.0,Guter Preis,79800.0,12/2019,Schaltgetriebe,Diesel,75 kW (102 PS),- (l/100 km),- (g/km)
Citroen Berlingo 1.6 Blue HDi 100 XL L2 Club Kastenwagen,15350.0,Erhöhter Preis,89500.0,06/2019,Schaltgetriebe,Diesel,73 kW (99 PS),"4,3 l/100 km (komb.)",112 g/km (komb.)
Citroen Berlingo Berlingo+1.5+BlueHDi+100+M+S,15550.0,Erhöhter Preis,79000.0,10/2020,Schaltgetriebe,Diesel,75 kW (102 PS),"4,2 l/100 km (komb.)",- (g/km)
Citroen Berlingo 1.5 BlueHDi 100  Club M/L1 KLIMA PDC,15950.0,Guter Preis,38500.0,01/2022,Schaltgetriebe,Diesel,75 kW (102 PS),- (l/100 km),- (g/km)
